source_model,protocol,metric,n_seeds,mean,std,ci95_low,ci95_high
colored,provided_angle,accuracy,3,0.6153846153846154,0.04441155916843272,0.5050512820512821,0.7257179487179487
colored,provided_angle,balanced_accuracy,3,0.6153846153846154,0.04441155916843282,0.5050512820512819,0.7257179487179489
colored,provided_angle,auc,3,0.6465044926583389,0.008680825036308702,0.6249383873408706,0.6680705979758071
colored,provided_angle,positive_recall,3,0.6752136752136753,0.03916731363210118,0.5779088214400775,0.7725185289872728
colored,provided_angle,negative_recall,3,0.5555555555555556,0.053376051268362416,0.4229513919801575,0.6881597191309534
colored,angle_marginalized,accuracy,3,0.5811965811965811,0.04502416133697752,0.46934133688943064,0.6930518255037319
colored,angle_marginalized,balanced_accuracy,3,0.5811965811965811,0.04502416133697752,0.46934133688943064,0.6930518255037319
colored,angle_marginalized,auc,3,0.6616261231645847,0.01388994247424134,0.627118808364419,0.6961334379647504
colored,angle_marginalized,positive_recall,3,0.5213675213675213,0.029607706112288492,0.44781196581196586,0.5949230769230769
colored,angle_marginalized,negative_recall,3,0.6410256410256411,0.06783977720678436,0.47248869046670966,0.8095625915845726
tetris,provided_angle,accuracy,3,0.5854700854700855,0.01958365681605059,0.5368176585832867,0.6341225123568843
tetris,provided_angle,balanced_accuracy,3,0.5854700854700855,0.01958365681605059,0.5368176585832867,0.6341225123568843
tetris,provided_angle,auc,3,0.638614946307254,0.009625330377382287,0.6147023702829916,0.6625275223315165
tetris,provided_angle,positive_recall,3,0.6666666666666666,0.025641025641025605,0.602965686966078,0.7303676463672553
tetris,provided_angle,negative_recall,3,0.5042735042735043,0.029607706112288492,0.4307179487179487,0.5778290598290599
tetris,angle_marginalized,accuracy,3,0.5641025641025641,0.02220577958421636,0.5089358974358974,0.6192692307692306
tetris,angle_marginalized,balanced_accuracy,3,0.5641025641025641,0.02220577958421636,0.5089358974358974,0.6192692307692306
tetris,angle_marginalized,auc,3,0.6445321060705677,0.0253130060722363,0.5816460379177999,0.7074181742233354
tetris,angle_marginalized,positive_recall,3,0.5299145299145299,0.014803853056144262,0.4931367521367521,0.5666923076923077
tetris,angle_marginalized,negative_recall,3,0.5982905982905983,0.053376051268362416,0.4656864347152003,0.7308947618659962
