experiment,task,split,metric,mean,std,ci95_low,ci95_high,ci_method,n_seeds,seeds,values
colored_rotation_cnn,colored_rotation,test_ood_angle,fp,185.0,38.97435053981015,88.17453180937706,281.8254681906229,student_t_over_independent_seeds,3,"[0, 1, 2]","[192.0, 143.0, 220.0]"
colored_rotation_cnn,colored_rotation,test_ood_angle,log_loss,0.6264422526927178,0.02011064546247392,0.5764806077762571,0.6764038976091785,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6174248523148667, 0.6124184698117342, 0.6494834359515526]"
colored_rotation_cnn,colored_rotation,test_ood_angle,n,1000.0,0.0,1000.0,1000.0,student_t_over_independent_seeds,3,"[0, 1, 2]","[1000.0, 1000.0, 1000.0]"
colored_rotation_cnn,colored_rotation,test_ood_angle,threshold,0.5,0.0,0.5,0.5,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5, 0.5, 0.5]"
colored_rotation_cnn,colored_rotation,test_ood_angle,tn,315.0,38.97435053981015,218.17453180937707,411.8254681906229,student_t_over_independent_seeds,3,"[0, 1, 2]","[308.0, 357.0, 280.0]"
colored_rotation_cnn,colored_rotation,test_ood_angle,tp,361.6666666666667,40.5010287935175,261.0484133585428,462.28491997479057,student_t_over_independent_seeds,3,"[0, 1, 2]","[369.0, 318.0, 398.0]"
colored_rotation_cnn,colored_rotation,validation,accuracy,0.6733333333333333,0.0037859388972001857,0.6639277806766428,0.6827388859900239,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.675, 0.676, 0.669]"
colored_rotation_cnn,colored_rotation,validation,accuracy_ci95_high,0.7016892539814502,0.003685813675241148,0.6925324462392893,0.7108460617236111,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.703312098054589, 0.7042851777277892, 0.6974704861619725]"
colored_rotation_cnn,colored_rotation,validation,accuracy_ci95_low,0.6436508030768907,0.0038570883867055485,0.6340684910249194,0.6532331151288621,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6453485364754667, 0.6463678032852955, 0.63923606946991]"
colored_rotation_cnn,colored_rotation,validation,auc,0.73728,0.002890060206985312,0.7301001130034327,0.7444598869965674,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.737064, 0.740272, 0.734504]"
