model,router_mode,metric,n_seeds,mean,std,ci95_low,ci95_high,ci95_low_display,ci95_high_display
maze_moe,colored_only,activation_time_mae_normalized,3,0.20538982659578323,0.11341196317089788,-0.07636384679059474,0.4871434999821612,0.0,0.4871434999821612
maze_moe,colored_only,endpoint_iou,3,0.5607725477218628,0.135697132322108,0.2236549771341934,0.8978901183095322,0.2236549771341934,0.8978901183095322
maze_moe,colored_only,endpoint_mse,3,0.10453807055950165,0.04469421747862678,-0.006497481613746706,0.21557362273275,0.0,0.21557362273275
maze_moe,colored_only,future_path_activation_rate_at_0_1,3,0.2906699244181315,0.061736384591592045,0.13729586533351854,0.44404398350274443,0.13729586533351854,0.44404398350274443
maze_moe,colored_only,future_path_activation_rate_at_0_5,3,0.1000951772990326,0.0707619666980793,-0.07570148026508267,0.2758918348631479,0.0,0.2758918348631479
maze_moe,colored_only,future_path_mean_intensity,3,0.131039313574632,0.04718876552199224,0.013806460384753569,0.24827216676451047,0.013806460384753569,0.24827216676451047
maze_moe,colored_only,goal_reached,3,0.5333333333333333,0.21523727217499608,-0.001388845786217674,1.0680555124528843,0.0,1.0
maze_moe,colored_only,intermediate_prefix_iou,3,0.5591178925832113,0.24014351577002777,-0.03747981912527587,1.1557156042916985,0.0,1.0
maze_moe,colored_only,missed_path_activation_rate,3,0.27976450681686404,0.17241070527952004,-0.1485619958329567,0.7080910094666847,0.0,0.7080910094666847
maze_moe,colored_only,monotonicity_violation_rate,3,0.00523510312581493,0.006142574995996683,-0.010025130634228881,0.020495336885858743,0.0,0.020495336885858743
maze_moe,colored_only,obstacle_violation_rate,3,0.020530895916648056,0.035112166129122456,-0.06669959997491413,0.10776139180821025,0.0,0.10776139180821025
maze_moe,colored_only,off_path_activation_rate_at_0_1,3,0.18887058893839517,0.033377681946062825,0.10594913837453986,0.2717920395022505,0.10594913837453986,0.2717920395022505
maze_moe,colored_only,path_precision,3,0.715377254486084,0.13007193304652273,0.3922345813881816,1.0385199275839863,0.3922345813881816,1.0
maze_moe,colored_only,path_recall,3,0.7202021137873332,0.1724247619730565,0.29184068955667725,1.1485635380179893,0.29184068955667725,1.0
maze_moe,colored_only,premature_activation_rate,3,0.13893143713474274,0.11007052412658923,-0.1345209715630771,0.4123838458325626,0.0,0.4123838458325626
maze_moe,colored_only,router_entropy,3,0.0,0.0,0.0,0.0,0.0,0.0
maze_moe,colored_only,router_tetris_weight,3,0.0,0.0,0.0,0.0,0.0,0.0
maze_moe,colored_only,router_tetris_weight_on_path,3,0.0,0.0,0.0,0.0,0.0,0.0
maze_moe,colored_only,router_tetris_weight_on_walls,3,0.0,0.0,0.0,0.0,0.0,0.0
maze_moe,colored_only,trajectory_mse,3,0.04776379396518071,0.027756224586495064,-0.02119205529384212,0.11671964322420354,0.0,0.11671964322420354
